cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
300,1000.2,305.0,92.0106,92.0166,91.9329,0.0776,0.0837,0.0061
301,999.8,289.0,92.0164,92.0225,91.9384,0.0780,0.0841,0.0061
302,1000.0,258.6,92.0222,92.0283,91.9438,0.0784,0.0845,0.0061
303,1000.1,283.7,92.0281,92.0341,91.9497,0.0784,0.0844,0.0061
304,1001.8,265.7,92.0339,92.0400,91.9550,0.0789,0.0850,0.0061
305,999.1,253.7,92.0397,92.0458,91.9604,0.0794,0.0854,0.0061
306,999.4,273.5,92.0456,92.0516,91.9668,0.0787,0.0848,0.0061
307,1000.0,260.7,92.0514,92.0574,91.9722,0.0792,0.0853,0.0061
308,1002.0,270.8,92.0572,92.0633,91.9775,0.0797,0.0857,0.0061
309,999.1,274.0,92.0630,92.0691,91.9829,0.0801,0.0862,0.0060
310,999.7,247.0,92.0688,92.0749,91.9885,0.0803,0.0864,0.0060
311,1000.0,271.1,92.0747,92.0807,91.9943,0.0803,0.0864,0.0060
312,999.7,267.2,92.0805,92.0865,91.9997,0.0808,0.0868,0.0060
313,999.3,257.2,92.0863,92.0923,92.0051,0.0812,0.0872,0.0060
314,1000.1,255.7,92.0921,92.0981,92.0105,0.0816,0.0876,0.0060
315,999.6,259.8,92.0979,92.1039,92.0164,0.0814,0.0875,0.0060
316,1000.1,259.9,92.1037,92.1097,92.0219,0.0818,0.0878,0.0060
317,1000.1,252.0,92.1095,92.1155,92.0273,0.0822,0.0882,0.0060
318,1000.7,280.9,92.1152,92.1213,92.0324,0.0828,0.0889,0.0060
319,1002.3,325.2,92.1210,92.1271,92.0378,0.0833,0.0893,0.0060
320,998.8,307.2,92.1268,92.1328,92.0427,0.0841,0.0901,0.0060
321,999.0,285.9,92.1326,92.1386,92.0478,0.0848,0.0908,0.0060
322,998.9,258.5,92.1384,92.1444,92.0531,0.0852,0.0913,0.0060
323,1001.0,282.2,92.1441,92.1502,92.0591,0.0851,0.0911,0.0060
324,1000.3,268.4,92.1499,92.1559,92.0591,0.0909,0.0969,0.0060
325,1000.1,249.0,92.1557,92.1617,92.0647,0.0910,0.0970,0.0060
