cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
277,999.9,384.8,91.7855,91.7916,91.7130,0.0725,0.0786,0.0061
278,1000.0,421.7,91.7914,91.7975,91.7185,0.0729,0.0790,0.0061
279,999.8,399.2,91.7973,91.8034,91.7246,0.0728,0.0789,0.0061
280,1000.1,394.1,91.8032,91.8093,91.7302,0.0731,0.0791,0.0061
281,1002.2,419.1,91.8091,91.8152,91.7357,0.0734,0.0795,0.0061
282,999.3,394.1,91.8150,91.8211,91.7412,0.0738,0.0799,0.0061
283,1002.8,399.2,91.8209,91.8270,91.7470,0.0740,0.0800,0.0061
284,996.4,353.0,91.8268,91.8329,91.7524,0.0744,0.0805,0.0061
285,1002.1,358.0,91.8327,91.8388,91.7580,0.0747,0.0808,0.0061
286,999.7,413.4,91.8386,91.8447,91.7636,0.0749,0.0810,0.0061
287,998.2,404.6,91.8445,91.8505,91.7697,0.0748,0.0808,0.0061
288,1000.0,372.3,91.8503,91.8564,91.7753,0.0750,0.0811,0.0061
289,999.3,384.4,91.8562,91.8623,91.7808,0.0754,0.0815,0.0061
290,998.8,391.3,91.8621,91.8682,91.7863,0.0758,0.0818,0.0061
291,1001.7,375.7,91.8679,91.8740,91.7921,0.0758,0.0819,0.0061
292,998.7,379.7,91.8738,91.8799,91.7976,0.0762,0.0823,0.0061
293,999.8,686.9,91.8797,91.8857,91.8034,0.0763,0.0824,0.0061
294,1003.5,448.5,91.8855,91.8916,91.8092,0.0763,0.0824,0.0061
295,999.9,433.2,91.8914,91.8975,91.8156,0.0758,0.0819,0.0061
296,998.1,697.2,91.8972,91.9033,91.8214,0.0758,0.0819,0.0061
297,998.7,367.4,91.9031,91.9092,91.8272,0.0759,0.0820,0.0061
298,1000.1,423.5,91.9090,91.9150,91.8329,0.0760,0.0821,0.0061
299,999.7,735.9,91.9148,91.9209,91.8392,0.0756,0.0817,0.0061
300,1000.4,358.7,91.9206,91.9267,91.8452,0.0755,0.0815,0.0061
301,999.9,407.8,91.9265,91.9325,91.8515,0.0750,0.0811,0.0061
302,998.1,710.9,91.9323,91.9384,91.8578,0.0745,0.0805,0.0061
303,999.8,378.1,91.9382,91.9442,91.8645,0.0736,0.0797,0.0061
304,1003.4,369.6,91.9440,91.9500,91.8707,0.0733,0.0793,0.0061
305,998.4,376.0,91.9498,91.9559,91.8769,0.0730,0.0790,0.0061
306,1005.1,356.9,91.9556,91.9617,91.8830,0.0726,0.0787,0.0061
307,995.4,403.5,91.9615,91.9675,91.8897,0.0717,0.0778,0.0061
308,999.2,720.2,91.9673,91.9733,91.8960,0.0712,0.0773,0.0061
309,998.9,349.1,91.9731,91.9791,91.9023,0.0708,0.0768,0.0060
310,1002.8,390.4,91.9789,91.9850,91.9083,0.0706,0.0767,0.0060
311,997.8,748.1,91.9847,91.9908,91.9144,0.0704,0.0764,0.0060
312,1006.4,341.4,91.9905,91.9966,91.9199,0.0707,0.0767,0.0060
313,998.3,384.3,91.9963,92.0024,91.9255,0.0709,0.0769,0.0060
